Structure URN,ID,Name EN,Name UK,Description EN,Description UK,ID_orig,ID_orig_without_sek,Details,Included Items,Excluded Items,parent
SSSU:CL_NACE_R2_UA(1.1.3),DA15_52_0,Виробництво морозива,,,,DA15.52.0,15.52.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво вершкового, молочного та плодово-ягідного морозива, пломбіру, заморожених десертів  
виробництво харчового льоду 
</ul>","<i>Цей підклас не включає:

послуги кафе-морозиво (див. 55.30.2) 

</i>",DA15_52
SSSU:CL_NACE_R2_UA(1.1.3),DA15_61_0,Виробництво продуктів борошномельно-круп'яної промисловості,,,,DA15.61.0,15.61.0,,"<em>Цей підклас включає:</em>  <ul>
перероблення зерна: виробництво борошна, круп та гранул із зернових культур  
оброблення рису: виробництво обрушеного, шліфованого, полірованого, глазурованого, пропареного рису; виробництво рисового борошна  
виробництво борошна з бобових культур, включаючи сушені, коренеплодів та бульбоплодів, споживних горіхів  
виробництво лущеного, полірованого (цілого чи колотого) гороху  
виробництво продуктів з зерна для сніданків (геркулесу, корнфлексів тощо)  
виробництво борошнистих сумішей для випікання хліба, тістечок, тортів, млинців  
отримання висівок та інших відходів від перероблення зернових культур 
</ul>","<i>Цей підклас не включає:

виробництво сушеного, лущеного, неполірованого гороху (див. 01.11)  
виробництво борошна з картоплі (див. 15.31)  
вологий помел кукурудзи (див. 15.62) 

</i>",DA15_61
SSSU:CL_NACE_R2_UA(1.1.3),DA15_62_0,Виробництво крохмалю та крохмальних продуктів,,,,DA15.62.0,15.62.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво крохмалю з картоплі, рису, кукурудзи та інших видів сировини  
вологий помел кукурудзи  
виробництво глюкози, глюкозного сиропу, мальтози, глютену (клейковини), карамельного кульору, фруктози та сиропу з фруктози  
виробництво штучного меду  
виробництво кукурудзяної олії 
</ul>","<i>Цей підклас не включає:

виробництво лактози (див. 15.51) 

</i>",DA15_62
SSSU:CL_NACE_R2_UA(1.1.3),DA15_71_0,"Виробництво готових кормів для тварин, що утримуються на фермах",,,,DA15.71.0,15.71.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво готових кормів, включаючи кормові добавки, підготування незбалансованих (однорідних) кормів 
</ul>","<i>Цей підклас не включає:

виробництво рибного борошна для годування тварин (див. 15.20)  
одержування макухи з олійних культур (див. 15.41)  
виробництво кормових дріжджів (див. 15.89) 

</i>",DA15_71
SSSU:CL_NACE_R2_UA(1.1.3),DA15_72_0,Виробництво готових кормів для домашніх тварин,,,,DA15.72.0,15.72.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво готових кормів для домашніх тварин, включаючи спеціальні консерви 
</ul>",,DA15_72
SSSU:CL_NACE_R2_UA(1.1.3),DA15_81_0,Виробництво хліба та хлібобулочних виробів,,,,DA15.81.0,15.81.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво хліба та хлібобулочних виробів  
виробництво борошняних кондитерських виробів нетривалого зберігання: свіжих пирогів, тістечок, тортів тощо 
</ul>","<i>Цей підклас не включає:

виробництво сухарів, печива, соломки, інших “сухих” хлібопродуктів та пирогів, тістечок тривалого зберігання (див. 15.82)  
виробництво макаронних виробів, локшини та інших подібних виробів, у тому числі з начинкою (див. 15.85)  
послуги ресторанів, кафе тощо з виготовлення хліба та хлібобулочних виробів (див. 55.30) 

</i>",DA15_81
SSSU:CL_NACE_R2_UA(1.1.3),DA15_82_0,"Виробництво сухарів, печива, пирогів і тістечок тривалого зберігання",,,,DA15.82.0,15.82.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво сухарів, печива, соломки, вафель, пряників, бубликів, сушки та інших “сухих” хлібобулочних виробів  
виробництво борошняних кондитерських виробів тривалого зберігання: тортів, тістечок тощо  
виробництво різних закусочних продуктів солодких або солоних 
</ul>","<i>Цей підклас не включає:

виробництво борошняних кондитерських виробів нетривалого зберігання (див. 15.81) 

</i>",DA15_82
SSSU:CL_NACE_R2_UA(1.1.3),DA15_83_0,Виробництво цукру,,,,DA15.83.0,15.83.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво (включаючи рафінацію) цукру з цукрового буряку та тростини  
отримання жому, меляси та інших відходів цукроваріння   
виробництво сахарози 
</ul>","<i>Цей підклас не включає:

виробництво глюкози, глюкозного сиропу, мальтози тощо (див. 15.62) 

</i>",DA15_83
SSSU:CL_NACE_R2_UA(1.1.3),DA15_84_0,"Виробництво какао, шоколаду та цукристих кондитерських виробів",,,,DA15.84.0,15.84.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво какао у вигляді порошку, масла, жиру, пасти  
виробництво шоколаду та шоколадних кондитерських виробів  
виробництво драже та таблеток  
виробництво цукристих кондитерських виробів  
виробництво жувальної гумки  
виробництво халви, глазурованих фруктів та горіхів 
</ul>","<i>Цей підклас не включає:

виробництво сахарози (див. 15.83) 

</i>",DA15_84
SSSU:CL_NACE_R2_UA(1.1.3),DA15_85_0,Виробництво макаронних виробів,,,,DA15.85.0,15.85.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво макаронних виробів, локшини та інших подібних виробів, у тому числі з начинкою (пельменів, вареників тощо) 
</ul>",,DA15_85
SSSU:CL_NACE_R2_UA(1.1.3),DA15_86_0,Виробництво чаю та кави,,,,DA15.86.0,15.86.0,,"<em>Цей підклас включає:</em>  <ul>
перероблення чайних листків, виробництво гранул, таблеток, плиток  
розфасування чаю в паковання масою не більше 3 кг для роздрібного продажу, включаючи аналогічні продукти, виготовлені з шипшини, іншої рослинної сировини (м'яти, вербени, ромашки тощо)  
приготування суміші чаю чи мате  
виробництво кави в зернах чи меленої, розчинної, екстрактів та концентратів з кави  
вилучення кофеїну з кави, смаження зерен кави  
виробництво замінників кави  
виробництво інших напоїв з кави 
</ul>","<i>Цей підклас не включає:

виробництво трав'яних настоянок для лікувальних цілей (див. 24.42) 

</i>",DA15_86
SSSU:CL_NACE_R2_UA(1.1.3),DA15_87_0,Виробництво прянощів та приправ,,,,DA15.87.0,15.87.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво і фасування оброблених прянощів, спецій  
виробництво соусів (у тому числі майонезу), оцту, приправ, гірчиці (включаючи порошок) тощо 
</ul>","<i>Цей підклас не включає:

вирощування культур для виробництва прянощів (див. 01.13)  
добування та виробництво солі (див. 14.40) 

</i>",DA15_87
SSSU:CL_NACE_R2_UA(1.1.3),DA15_88_0,Виробництво продуктів дитячого харчування та дієтичних продуктів,,,,DA15.88.0,15.88.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво продуктів харчування для немовлят та малюків за спеціальними формулами і технологіями, включаючи фруктові, овочеві, молочні, м'ясні консерви та сухі молочні суміші  
виробництво продуктів, які використовуються для спеціальних дієт: продуктів за спеціальними формулами для низькокалорійного харчування; лікувальних дієтичних продуктів (включаючи харчові продукти без глютену зі зниженим вмістом солі і цукру або без солі і цукру); продуктів харчування для осіб, які мають велике фізичне навантаження, особливо для спортсменів; продуктів харчування для осіб, які страждають від порушення метаболізму вуглеводнів (діабетиків) 
</ul>",,DA15_88
SSSU:CL_NACE_R2_UA(1.1.3),DA15_89_0,"Виробництво харчових продуктів, не віднесених до інших групувань",,,,DA15.89.0,15.89.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво заготовок для супів та бульйонів (порошкоподібних, кубиків тощо)  
виробництво дріжджів (включаючи кормові), яєчного порошку  
виробництво екстрактів хмелю, солоду тощо  
виробництво екстрактів рослинних та згущувачів харчових тощо   
виробництво фруктових сиропів, призначених для приготування лимонадів та інших напоїв   
виробництво спредів та сумішей молочного та рослинних жирів, в яких частка молочного жиру складає не менше 25%  
</ul>","<i>Цей підклас не включає:

виробництво маргарину та аналогічних пастоподібних продуктів, сумішей молочного та рослинних жирів, в яких частка молочного жиру складає менше 25% (див. 15.43) 

</i>",DA15_89
SSSU:CL_NACE_R2_UA(1.1.3),DA15_91_0,Виробництво дистильованих алкогольних напоїв,,,,DA15.91.0,15.91.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво дистильованих алкогольних напоїв, готових до уживання: горілки, лікерів, коньяку, бренді, джину тощо  
виробництво етилового спирту неденатурованого з вмістом спирту менше  80 об.% 
</ul>","<i>Цей підклас не включає:

виробництво недистильованих алкогольних напоїв (див.15.92, 15.93, 15.94)  
розлив у пляшки без додаткового перероблення купованих алкогольних напоїв (див. 51.34) 

</i>",DA15_91
SSSU:CL_NACE_R2_UA(1.1.3),DA15_92_0,Виробництво етилового спирту із зброджуваних продуктів,,,,DA15.92.0,15.92.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво етилового спирту неденатурованого та денатурованого зі зброджуваних продуктів з вмістом спирту більше 80 об.% 
</ul>",,DA15_92
SSSU:CL_NACE_R2_UA(1.1.3),DA15_93_0,Виробництво виноградних вин,,,,DA15.93.0,15.93.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво виноградних вин: столових вин та високоякісних вин певних районів  
виробництво ігристих вин  
виробництво виноградного сусла 
</ul>  <em>Цей підклас включає також:</em>  <ul>
виробництво безалкогольних або слабоалкогольних вин 
</ul>","<i>Цей підклас не включає:

вирощування винограду(див. 01.13)  
розлив у пляшки та пакування без перероблення (витримки) вина (див. 51.34)  
розлив у пляшки та пакування за винагороду, або на договірній основі (див. 74.82) 

</i>",DA15_93
SSSU:CL_NACE_R2_UA(1.1.3),DA15_94_0,Виробництво сидру та інших плодово-ягідних вин,,,,DA15.94.0,15.94.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво сидру, грушівки, медового напою, інших фруктових вин та змішаних напоїв, що містять алкоголь 
</ul>","<i>Цей підклас не включає:

виробництво виноградних вин (див. 15.93) 

</i>",DA15_94
SSSU:CL_NACE_R2_UA(1.1.3),DA15_95_0,Виробництво інших напоїв  із зброджуваних продуктів,,,,DA15.95.0,15.95.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво вермутів та інших вин цього типу 
</ul>",,DA15_95
SSSU:CL_NACE_R2_UA(1.1.3),DA15_96_0,Виробництво пива,,,,DA15.96.0,15.96.0,,"<em>Цей підклас включає також:</em>  <ul>
виробництво безалкогольного або слабоалкогольного пива 
</ul>","<i>Цей підклас не включає:

виробництво солодового екстракту (див. 15.89)  
виробництво солоду (див. 15.97) 

</i>",DA15_96
SSSU:CL_NACE_R2_UA(1.1.3),DA15_97_0,Виробництво солоду,,,,DA15.97.0,15.97.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво солоду та інших солодових продуктів з ячменю та інших видів зерна 
</ul>","<i>Цей підклас не включає:

виробництво замінників кави з солоду (див. 15.86)  
виробництво екстракту солоду (див. 15.89) 

</i>",DA15_97
SSSU:CL_NACE_R2_UA(1.1.3),DA15_98_0,Виробництво мінеральних вод та інших безалкогольних напоїв,,,,DA15.98.0,15.98.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво та розлив по пляшках природних та мінеральних вод з джерел та свердловин  
виробництво безалкогольних напоїв: лимонаду, оранжу, коли тощо  
виробництво фруктових напоїв  
виробництво квасу 
</ul>","<i>Цей підклас не включає:

виробництво фруктових та овочевих соків (див. 15.32)  
виробництво цукрових ароматизованих (фруктових та інших) сиропів (див. 15.89) 

</i>",DA15_98
SSSU:CL_NACE_R2_UA(1.1.3),DA16_00_0,Виробництво тютюнових виробів,,,,DA16.00.0,16.00.0,,"<em>Цей підклас включає:</em>  <ul>
ферментацію тютюну  
виробництво сигарет, сигар, сигаретного і люлькового тютюну, жувального та нюхального тютюну  
виробництво гомогенізованого і відновленого тютюну 
</ul>","<i>Цей підклас не включає:

вирощування та первинне оброблення тютюну та махорки (див. 01.11) 

</i>",DA16_00
SSSU:CL_NACE_R2_UA(1.1.3),DB17_11_0,Прядіння бавовняних волокон,,,,DB17.11.0,17.11.0,,"<em>Цей підклас включає:</em>  <ul>
операції з підготовки бавовняних волокон: кардочесання, гребенечесання  
виробництво бавовняної пряжі та пряжі з бавовни, змішаної з хімічними волокнами для ткацького, трикотажного та іншого виробництва 
</ul>","<i>Цей підклас не включає:

виробництво швацьких ниток (див. 17.16) 

</i>",DB17_11
SSSU:CL_NACE_R2_UA(1.1.3),DB17_12_0,Кардне прядіння вовняних волокон,,,,DB17.12.0,17.12.0,,"<em>Цей підклас включає:</em>  <ul>
операції з підготовки вовняних волокон: знежирення і карбонізацію вовни, кардочесання  
виробництво пряжі вовняної кардочесаної та пряжі з вовни кардочесаної, змішаної з хімічними волокнами, для ткацького, трикотажного та інших виробництв 
</ul>",,DB17_12
SSSU:CL_NACE_R2_UA(1.1.3),DB17_13_0,Камвольне прядіння вовняних волокон,,,,DB17.13.0,17.13.0,,"<em>Цей підклас включає:</em>  <ul>
гребінне чесання вовняних волокон  
виробництво пряжі вовняної гребенечесаної та пряжі з вовни гребенечесаної, змішаної з хімічними волокнами для ткацького, трикотажного та інших виробництв   
підготування і прядіння напівкамвольної вовни (кардочесаної, але не повністю гребенечесаної) 
</ul>",,DB17_13
SSSU:CL_NACE_R2_UA(1.1.3),DB17_14_0,Прядіння лляних волокон,,,,DB17.14.0,17.14.0,,"<em>Цей підклас включає:</em>  <ul>
тіпання льону  
виробництво пряжі лляної та пряжі з лляного волокна, змішаного з хімічними волокнами для ткацького, трикотажного та інших виробництв 
</ul>",,DB17_14
SSSU:CL_NACE_R2_UA(1.1.3),DB17_15_0,"Прядіння натуральних шовкових, штучних та синтетичних волокон",,,,DB17.15.0,17.15.0,,"<em>Цей підклас включає:</em>  <ul>
кокономотання, промивання та скручування шовкових ниток  
кардочесання, гребенечесання та інші підготовчі операції до прядіння шовку, відходів шовку, хімічних волокон  
виробництво шовкової пряжі та пряжі з шовку, змішаного з хімічними волокнами для ткацького, трикотажного та інших виробництв  
виробництво пряжі з хімічних волокон  
текстурування, скручування, складання в декілька шарів синтетичних або штучних комплексних ниток 
</ul>",,DB17_15
SSSU:CL_NACE_R2_UA(1.1.3),DB17_16_0,Виробництво швацьких ниток,,,,DB17.16.0,17.16.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво ниток з різних текстильних матеріалів, включаючи змішані 
</ul>","<i>Цей підклас не включає:

виробництво пряжі для виробництва трикотажного полотна (див. 17.11 - 17.15, 17.17) 

</i>",DB17_16
SSSU:CL_NACE_R2_UA(1.1.3),DB17_17_0,Підготовка та прядіння інших текстильних волокон,,,,DB17.17.0,17.17.0,,"<em>Цей підклас включає:</em>  <ul>
операції з підготовки та прядіння інших текстильних волокон, таких як джутове волокно та інші луб'яні волокна 
</ul>  <em>Цей підклас включає також:</em>  <ul>
виробництво паперової пряжі 
</ul>","<i>Цей підклас не включає:

виробництво хімічних (штучних та синтетичних) волокон та джгутів (див. 24.70)  
виробництво філаментних високоміцних ниток з хімічних (штучних та синтетичних) волокон (див. 24.70)  
виробництво скловолокна (див. 26.14)  
виробництво неметалевої мінеральної пряжі з азбесту (див. 26.82) 

</i>",DB17_17
SSSU:CL_NACE_R2_UA(1.1.3),DB17_21_0,Виробництво бавовняних тканин,,,,DB17.21.0,17.21.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво тканин з бавовни або тканин з бавовни, змішаної з хімічною пряжею 
</ul>  <em>Цей підклас включає також:</em>  <ul>
виробництво ворсових тканин (бархату, плюшу тощо), махрових тканин, марлі тощо 
</ul>","<i>Цей підклас не включає:

виробництво килимів та килимових виробів (див. 17.51)  
виробництво нетканих текстильних матеріалів (див. 17.53)  
виробництво вузьких тканин (див. 17.54)  
виробництво трикотажного полотна (див. 17.60) 

</i>",DB17_21
SSSU:CL_NACE_R2_UA(1.1.3),DB17_22_0,Виробництво вовняних тканин з волокон кардного прядіння,,,,DB17.22.0,17.22.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво тканин з вовни кардочесаної або тканин з вовни кардочесаної, змішаної з хімічною пряжею 
</ul>","<i>Цей підклас не включає:

виробництво килимів та килимових виробів (див. 17.51)  
виробництво нетканих текстильних матеріалів (див. 17.53)  
виробництво трикотажного полотна (див. 17.60) 

</i>",DB17_22
SSSU:CL_NACE_R2_UA(1.1.3),DB17_23_0,Виробництво вовняних тканин з волокон камвольного прядіння,,,,DB17.23.0,17.23.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво тканин з вовни гребенечесаної або тканин з вовни гребенечесаної, змішаної з хімічною пряжею 
</ul>","<i>Цей підклас не включає:

виробництво килимів та килимових виробів (див. 17.51)  
виробництво нетканих текстильних матеріалів (див. 17.53)  
виробництво трикотажного полотна (див. 17.60) 

</i>",DB17_23
SSSU:CL_NACE_R2_UA(1.1.3),DB17_24_0,Виробництво шовкових тканин,,,,DB17.24.0,17.24.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво тканин з шовку чи відходів шовку або тканин з шовку, змішаного з хімічною пряжею 
</ul>","<i>Цей підклас не включає:

виробництво нетканих текстильних матеріалів (див. 17.53) 

</i>",DB17_24
SSSU:CL_NACE_R2_UA(1.1.3),DB17_25_0,Виробництво інших текстильних тканин,,,,DB17.25.0,17.25.0,,"<em>Цей підклас включає:</em>  <ul>
виробництво інших тканин з пряжі, яка виготовлена з волокон льону, рами, коноплі, джуту та інших луб'яних волокон  
виробництво тканин з хімічних волокон 
</ul>  <em>Цей підклас включає також:</em>  <ul>
виробництво тканин із скловолокна 
</ul>","<i>Цей підклас не включає:

виробництво килимів та килимових виробів (див. 17.51)  
виробництво нетканих текстильних матеріалів (див. 17.53)  
виробництво тканин з азбестової пряжі (див. 26.82) 

</i>",DB17_25
